pregunta,respuesta
¿Cómo solicito vacaciones?,Debes solicitar vacaciones con al menos 15 días de anticipación mediante el formulario interno de Recursos Humanos.
¿Quién aprueba mis vacaciones?,Tu supervisor inmediato es quien aprueba la solicitud de vacaciones.
¿Cómo reporto un problema técnico?,Debes crear un ticket en el sistema interno de soporte indicando el problema y su nivel de urgencia.
¿Cuánto tarda el soporte técnico en responder?,24 horas hábiles para incidencias normales y 4 horas para incidencias críticas.
¿Quién aprueba una compra?,Depende del monto: el supervisor si es menor a USD 500, gerencia si es entre USD 500 y USD 2000, y Dirección General si supera USD 2000.
¿Qué debo hacer en mi primera semana como nuevo colaborador?,Completar el proceso de onboarding, que incluye acceso a sistemas, cursos de inducción y reunión con tu supervisor.
¿Dónde solicito acceso a los sistemas internos?,A través del área de Recursos Humanos durante el proceso de onboarding.
¿Puedo acumular vacaciones no utilizadas?,Sí, según lo establecido en el reglamento interno de trabajo.
¿Qué pasa si mi solicitud de vacaciones es rechazada?,El supervisor debe justificar el motivo y proponer una fecha alternativa dentro de los siguientes 30 días.
¿Cuánto tarda en procesarse una compra?,Entre 3 y 5 días hábiles, dependiendo del monto y el proveedor.
